experiment,encoder,classifier,fold,accuracy,macro_f1,ordinal_mae,recall_tight,recall_regular,recall_oversized
experiment_3,clip_vit_b32,rbf_svm,3,0.8552631578947368,0.8537235271467077,0.14473684210526316,0.88,0.76,0.9230769230769231
experiment_3,clip_vit_b32,rbf_svm,4,0.9078947368421053,0.9081991771067403,0.09210526315789473,0.92,0.88,0.9230769230769231
experiment_3,clip_vit_b32,rbf_svm,5,0.9342105263157895,0.9333117013550889,0.06578947368421052,1.0,0.84,0.9615384615384616
experiment_3,clip_vit_b32,random_forest,1,0.935064935064935,0.9362002376708259,0.06493506493506493,0.9230769230769231,0.9615384615384616,0.92
experiment_3,clip_vit_b32,random_forest,2,0.8571428571428571,0.8570539326841847,0.14285714285714285,0.9230769230769231,0.7692307692307693,0.88
experiment_3,clip_vit_b32,random_forest,3,0.8026315789473685,0.7877890402280646,0.19736842105263158,0.92,0.52,0.9615384615384616
experiment_3,clip_vit_b32,random_forest,4,0.8552631578947368,0.8541177076891362,0.15789473684210525,0.88,0.76,0.9230769230769231
experiment_3,clip_vit_b32,random_forest,5,0.881578947368421,0.8804547460009645,0.11842105263157894,0.96,0.8,0.8846153846153846
experiment_3,clip_vit_b32,xgboost,1,0.8831168831168831,0.8847742733457019,0.11688311688311688,0.8846153846153846,0.8846153846153846,0.88
experiment_3,clip_vit_b32,xgboost,2,0.8441558441558441,0.8457977207977208,0.15584415584415584,0.8846153846153846,0.8076923076923077,0.84
experiment_3,clip_vit_b32,xgboost,3,0.7894736842105263,0.7797598627787307,0.21052631578947367,0.88,0.56,0.9230769230769231
experiment_3,clip_vit_b32,xgboost,4,0.8421052631578947,0.8414221480554396,0.17105263157894737,0.8,0.8,0.9230769230769231
experiment_3,clip_vit_b32,xgboost,5,0.868421052631579,0.8668518518518518,0.13157894736842105,0.96,0.76,0.8846153846153846
experiment_3,openclip_vit_l14,knn_baseline,1,0.7532467532467533,0.7444976076555023,0.24675324675324675,1.0,0.6923076923076923,0.56
experiment_3,openclip_vit_l14,knn_baseline,2,0.7142857142857143,0.7187806096951525,0.2857142857142857,0.8076923076923077,0.6923076923076923,0.64
experiment_3,openclip_vit_l14,knn_baseline,3,0.8289473684210527,0.8251990792584297,0.17105263157894737,1.0,0.68,0.8076923076923077
experiment_3,openclip_vit_l14,knn_baseline,4,0.8157894736842105,0.8152978056426332,0.18421052631578946,0.96,0.88,0.6153846153846154
experiment_3,openclip_vit_l14,knn_baseline,5,0.8947368421052632,0.8932670434075494,0.11842105263157894,0.96,0.8,0.9230769230769231
experiment_3,openclip_vit_l14,logistic_regression,1,0.9090909090909091,0.9078081885300917,0.09090909090909091,1.0,0.9230769230769231,0.8
experiment_3,openclip_vit_l14,logistic_regression,2,0.8311688311688312,0.8295021712388659,0.16883116883116883,0.8846153846153846,0.6923076923076923,0.92
experiment_3,openclip_vit_l14,logistic_regression,3,0.881578947368421,0.8752381698118131,0.11842105263157894,1.0,0.68,0.9615384615384616
experiment_3,openclip_vit_l14,logistic_regression,4,0.9342105263157895,0.9344923154446964,0.06578947368421052,0.96,0.88,0.9615384615384616
experiment_3,openclip_vit_l14,logistic_regression,5,0.9078947368421053,0.9068463611859837,0.09210526315789473,1.0,0.84,0.8846153846153846
experiment_3,openclip_vit_l14,linear_svm,1,0.922077922077922,0.9209593690725767,0.07792207792207792,1.0,0.9615384615384616,0.8
experiment_3,openclip_vit_l14,linear_svm,2,0.8311688311688312,0.8324873597237638,0.16883116883116883,0.8461538461538461,0.7692307692307693,0.88
experiment_3,openclip_vit_l14,linear_svm,3,0.9078947368421053,0.904588865595155,0.09210526315789473,1.0,0.76,0.9615384615384616
experiment_3,openclip_vit_l14,linear_svm,4,0.9342105263157895,0.9344923154446964,0.06578947368421052,0.96,0.88,0.9615384615384616
experiment_3,openclip_vit_l14,linear_svm,5,0.9210526315789473,0.9198575656677765,0.07894736842105263,1.0,0.84,0.9230769230769231
experiment_3,openclip_vit_l14,rbf_svm,1,0.8961038961038961,0.8946825857035946,0.1038961038961039,1.0,0.8846153846153846,0.8
